"deviceid","name","company_name"
36061,"385",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36066,"394",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36068,"376",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36073,"378",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36074,"064",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36078,"057",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36083,"387",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36097,"279",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36098,"404",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36100,"408",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36101,"412",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36104,"386",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36112,"270",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36115,"382",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36131,"271",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36134,"403",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36146,"407",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36152,"411",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36160,"410",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
36169,"405",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
37024,"418",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
37051,"413",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
37063,"414",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
37064,"419",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
37065,"417",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
37650,"278",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
171801,CQS68,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
171809,CQS93,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400010,"570",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400011,"567",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400012,"566",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400013,"571",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400015,"594",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400016,"564",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
400017,"557",EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.
