deviceid,company_name,totalLocations
400046,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400048,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400049,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400051,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400055,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400085,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400086,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400087,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400088,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400089,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400090,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1442
400091,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400093,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,0
400097,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400189,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400192,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400194,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400197,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2829
400198,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400199,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1275
400200,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2714
400201,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400202,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400203,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2937
400211,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400212,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400213,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2941
400215,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400216,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1441
400221,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400226,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400306,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400311,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2881
400318,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2880
400319,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1488
400320,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2881
400338,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1445
400365,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400368,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1439
400372,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1545
400373,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400376,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400379,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400380,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400381,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400383,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400387,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400388,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,627
400389,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400396,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1440
400397,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400398,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2881
400400,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400402,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1440
400403,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2486
400405,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400406,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,1441
400453,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400494,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,0
400500,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400501,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400502,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2068
400503,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,3000
400507,EMPRESAS VARIAS DE MEDELLIN S.A. E.S.P.,2881
